"names","center_x","center_y","cluster_no","cell_type"
"2997859600413100056-mPFC_NF3_r1-mPFC","11299.3125087589","997.930826413713","1","N_Slc30a3"
"2997859600413100061-mPFC_NF3_r1-mPFC","11292.2804819683","1003.97984711528","9","N_Rprm"
"2997859600413100127-mPFC_NF3_r1-mPFC","11277.6268454439","1036.70042281034","1","N_Slc30a3"
"2997859600413100151-mPFC_NF3_r1-mPFC","11305.6472061409","1050.75288437889","1","N_Slc30a3"
"2997859600413100190-mPFC_NF3_r1-mPFC","11272.0961759302","1075.27604722743","1","N_Slc30a3"
"2997859600413100202-mPFC_NF3_r1-mPFC","11337.3887398504","1084.9058715022","13","N_Sst"
"2997859600413100225-mPFC_NF3_r1-mPFC","11367.9241616417","982.190170153691","11","N_Lhx6"
"2997859600413100230-mPFC_NF3_r1-mPFC","11380.5426720327","982.157309505342","1","N_Slc30a3"
"2997859600413100234-mPFC_NF3_r1-mPFC","11303.59862876","1037.21162585105","1","N_Slc30a3"
"2997859600413100235-mPFC_NF3_r1-mPFC","11332.1537278949","990.417760620144","1","N_Slc30a3"
"2997859600413100237-mPFC_NF3_r1-mPFC","11372.8237410099","995.734963640433","1","N_Slc30a3"
"2997859600413100238-mPFC_NF3_r1-mPFC","11317.8804667044","1000.47853915536","1","N_Slc30a3"
"2997859600413100239-mPFC_NF3_r1-mPFC","11299.5216934302","1003.29083136469","1","N_Slc30a3"
"2997859600413100248-mPFC_NF3_r1-mPFC","11358.1552166285","1023.83815660529","11","N_Lhx6"
"2997859600413100250-mPFC_NF3_r1-mPFC","11274.9228007843","1033.85408646449","1","N_Slc30a3"
"2997859600413200031-mPFC_NF3_r1-mPFC","11276.5779969087","1089.29847568708","1","N_Slc30a3"
"2997859600414100037-mPFC_NF3_r1-mPFC","11437.371200023","1007.17770845225","11","N_Lhx6"
"2997859600414100122-mPFC_NF3_r1-mPFC","11423.9546024402","1029.35612650847","1","N_Slc30a3"
"2997859600414100183-mPFC_NF3_r1-mPFC","11390.2548047311","1058.04486739192","1","N_Slc30a3"
"2997859600414100187-mPFC_NF3_r1-mPFC","11457.5629653325","1058.64968812112","14","N_Sept4/Crym"
"2997859600414100202-mPFC_NF3_r1-mPFC","11390.652747362","1068.68451434453","1","N_Slc30a3"
"2997859600414100216-mPFC_NF3_r1-mPFC","11399.3057332908","1079.0497683129","11","N_Lhx6"
"2997859600414100262-mPFC_NF3_r1-mPFC","11454.6360908382","991.326929011742","1","N_Slc30a3"
"2997859600414100268-mPFC_NF3_r1-mPFC","11475.2731029854","1012.41276251818","14","N_Sept4/Crym"
"2997859600414100272-mPFC_NF3_r1-mPFC","11461.9337402626","1015.83731389013","1","N_Slc30a3"
"2997859600414100284-mPFC_NF3_r1-mPFC","11391.3090582114","1063.18857706507","1","N_Slc30a3"
"2997859600414100288-mPFC_NF3_r1-mPFC","11399.8413661615","1077.56994639298","11","N_Lhx6"
"2997859600414100299-mPFC_NF3_r1-mPFC","11489.4999959515","979.363819255404","15","N_Nptx1/Car4"
"2997859600414100301-mPFC_NF3_r1-mPFC","11440.4605103823","989.963971558299","11","N_Lhx6"
"2997859600414100306-mPFC_NF3_r1-mPFC","11395.391429149","1013.04372746913","1","N_Slc30a3"
"2997859600414100309-mPFC_NF3_r1-mPFC","11453.9225271658","1076.34953869585","13","N_Sst"
"2997859600414200005-mPFC_NF3_r1-mPFC","11439.9100146669","995.770812434193","11","N_Lhx6"
"2997859600414200028-mPFC_NF3_r1-mPFC","11417.4531556393","1087.46308274669","11","N_Lhx6"
"2997859600414200036-mPFC_NF3_r1-mPFC","11388.3114707015","996.171639318167","1","N_Slc30a3"
"2997859600415100047-mPFC_NF3_r1-mPFC","11607.4339784613","993.372846123272","14","N_Sept4/Crym"
"2997859600415100048-mPFC_NF3_r1-mPFC","11614.800816111","996.213567008241","14","N_Sept4/Crym"
"2997859600415100086-mPFC_NF3_r1-mPFC","11590.3575673947","1009.50135396744","14","N_Sept4/Crym"
"2997859600415100136-mPFC_NF3_r1-mPFC","11570.1107971988","1034.14063014805","13","N_Sst"
"2997859600415100155-mPFC_NF3_r1-mPFC","11571.4899255635","1043.28409150933","13","N_Sst"
"2997859600415100181-mPFC_NF3_r1-mPFC","11564.4731120078","1060.84583121457","4","N_Arhgap25"
"2997859600415100204-mPFC_NF3_r1-mPFC","11547.3180895694","1072.57620377852","14","N_Sept4/Crym"
