Gene_pair,BLA_FR15-BLA,BLA_FR16-BLA,BLA_FR1_r0-BLA,BLA_FR1_r1-BLA,BLA_FR24-BLA,BLA_FR2_r0-BLA,BLA_HC11_r0-BLA,BLA_HC11_r1-BLA,BLA_HC1_r0-BLA,BLA_HC1_r1-BLA,BLA_NF11-BLA,BLA_NF1_r0-BLA,BLA_NF1_r1-BLA,BLA_NF2_r0-BLA,BLA_NF2_r1-BLA,BLA_NF3_r1-BLA,mPFC_FR2_r0-mPFC,mPFC_FR2_r1-mPFC,mPFC_FR3_r0-mPFC,mPFC_FR3_r1-mPFC,mPFC_HC11_r0-mPFC,mPFC_HC11_r1-mPFC,mPFC_HC11_r2-mPFC,mPFC_HC11_r3-mPFC,mPFC_HC1_r0-mPFC,mPFC_HC1_r1-mPFC,mPFC_HC1_r2-mPFC,mPFC_HC1_r3-mPFC,mPFC_NF2_r0-mPFC,mPFC_NF2_r1-mPFC,mPFC_NF3_r0-mPFC,mPFC_NF3_r1-mPFC
N_Vip-N_Sst,9.254371415831224,11.89510847921654,8.242362197982843,11.151387891445031,4.363236148584586,7.693304706451124,5.162531754456727,7.4663434885721,2.159712276535517,7.346715316077838,8.267796073327503,7.9230763897486005,6.134944186264938,9.423731258791467,9.430616770243189,9.172517681304361,-1.8072897867305506,-1.0225841703651959,0.0,-1.7905772304236258,-0.9886098452295384,0.6309765605560544,-2.1516448174427287,-2.601820037856911,-1.7794853521502512,-1.484773985573464,-3.217348802652508,0.7654362943497867,0.0,-0.7654228307101384,-2.677443573823802,-2.9882626514713846
N_Vip-N_Dusp1,-5.191307736485285,0.0,0.0,-1.1901039967475482,-0.7487141809705745,1.8372487457053432,-1.2900520361737506,-0.8475423878695707,2.337163628354169,1.4441988458602069,-0.8004046101678697,-1.2345733796892184,-0.5769473269581243,1.1145996946122647,3.0611800107971407,-1.51122382874942,-1.1259383853981284,-3.2481558497672025,0.5269524091307755,2.882409354891867,-0.6475085064285969,2.1084895812005784,-1.1091497015324434,-0.5253950201155901,2.788845504849016,-0.7343577708905971,0.0,0.6709217237745734,-1.832911027872726,1.091156232406051,-0.9680117568109413,-0.6192497438124607
N_Vip-N_Rprm,5.261051338205703,1.9283883513972593,10.47093231105576,7.1287885992846975,-3.619585683700237,3.3207295330797595,1.85953300433556,3.7453515848744336,4.480810394919677,4.352837034143626,1.6031126805527471,4.174978186869805,2.3441159213456118,6.308721943971997,1.0513876752832183,23.093791800241895,-7.946333233150915,-6.260087666532091,-8.1553546324218,-6.821166184746619,-2.962555975111108,-3.7676636460599613,-6.556918650199957,-3.082408652080635,0.0,-3.4008406912009144,-4.540976541001041,-1.9567038509770742,-4.186732577761134,-3.9810622986208797,-8.02393204039312,-2.814287636816828
N_Vip-N_Crym,7.307823542856794,8.0022125626565,12.420506895613473,10.935444626905754,2.67346234425567,9.093290282591328,7.502194815635209,7.386703422129409,1.9244313317700934,11.774260436138773,8.312410512287755,12.044561188262334,8.024495957162438,8.882503772245693,13.598519075174474,13.410478683434185,3.4185269732061614,1.3621485664028359,9.082856779490017,17.82789146128315,0.0,6.617158446960998,6.148096627746744,10.909742006770436,7.587601137031952,2.0015688533494194,3.301836754223351,7.218424335110432,9.513568499862684,7.25030850028635,5.905885069800183,1.7967158581857676
N_Vip-N_Lhx6,1.265565664245434,5.170029533250433,4.869618528986836,-0.7457395994725005,-2.4080586844619463,-0.5432663056965069,-0.8207985903664017,0.0,-1.8773515827326714,1.4929599791025605,2.4764133961028825,1.6922330283630111,3.6644732738705237,2.4825564916003935,2.6342233763600835,0.0,-2.27188857570638,-2.208110266249408,0.0,0.0,-0.9601772535902146,0.0,0.0,0.0,0.0,0.0,0.0,0.8843757425992466,0.0,-1.4710620872635713,-0.742993162284401,-3.505085521344323
N_Vip-N_Nptx1/Itm2a,-0.754931565640967,2.181500058316197,2.383335869222291,1.575279823474034,-3.659716811606575,0.0,0.0,0.0,0.9663028641154777,0.8278135942639104,0.0,0.9535650949414447,1.3386131782902368,1.2435512863451137,0.9520585724424581,3.4348260982177496,-3.181182750514108,-7.772312522573627,-2.265305453360683,-3.9104550154158826,-4.78245301989399,-3.9773368188111435,-5.229511392179128,-5.0182439212656424,-3.3109798323322104,-3.381106887224839,-4.928774166980018,-4.374285446163102,-2.3718303683697943,-3.9340235726521993,-1.6853641609699215,-2.6564365665817578
N_Vip-N_Sept4/Crym,0.5975258256353695,1.2610129884894086,1.3536782079930998,-3.2148548697413863,-6.4304910973860245,2.6246785818244605,-2.223511708592935,-1.3363960446685215,0.8596586267414869,0.6721208891209188,0.0,-0.9504224144960554,-3.3065988899607675,1.7030176446493162,3.18727920044522,7.611121407097365,-7.052625884811876,-5.910603231930037,-2.3266510203503556,-5.045557572528401,-3.366427830034208,-4.361123480817353,-4.0146471059942614,-3.824945157514905,-2.301376416244458,-0.6056039581463127,-2.745405054172978,2.6979571722599855,-4.841066437574641,-2.2239275217911816,-4.146165448976606,-4.49478761266846
N_Vip-N_Nptx1/Car4,1.5322873933172914,3.1596711000700477,6.82603067192877,6.489438200820543,5.989780345028322,2.181498278034842,8.118411534493916,6.515212015528554,3.0113405905537456,7.885348606910378,4.973530678633814,2.8493348897919066,1.5969023924301522,7.958886797346566,6.8747613742543425,3.5085551372080634,-0.5051165491167976,-2.713270985965485,0.0,-0.596013526808217,0.0,-2.120483629626288,-0.8744696869061916,0.0,-0.877421573514954,0.0,-1.0138987664806363,-2.2301207859846577,-1.8836368878259089,0.0,0.0,-1.2465675517583599
N_Vip-N_Baiap3,-24.799121961844325,-21.900468153475774,-23.013550615611372,-21.931989380668007,-14.547593861521447,-22.147560111439713,-16.4644445013061,-20.733801642785707,-13.90487935518096,-16.05511919509576,-18.694757985451385,-20.97545708291498,-17.115404482124205,-24.14351571982764,-15.178610252783969,-24.149104597073336,0.0,0.0,-8.20708275532149,-6.9461597308105265,-1.6140068277253878,-3.4447040133229905,-4.509831683680633,0.0,-2.5291197697853374,-3.97719067434804,-1.607190483462918,0.5321187809771203,-5.418711545723354,1.0175716461941862,-0.6556893890253481,-1.1156148625345406
N_Vip-N_Penk,-16.130683646604563,-13.844768657982016,-15.718197799676856,-14.25050274101062,-22.97351296337108,-14.612992384090132,-17.49932914523009,-17.84399067993063,-15.101396272682635,-16.793118398109954,-15.558627427055887,-11.338500877019147,-10.509861233802328,-12.5004820535368,-10.659299360864628,-13.972402043578889,-15.469489757358666,-12.478733458225514,-26.356334027789025,-29.560114290466174,-10.606025086578153,-11.784716422418606,-13.061310008653003,-14.27133040362739,-11.673551266152767,-12.384298589552523,-11.022109568973654,-9.52716213779295,-17.706667327609374,-16.78459766502098,-12.831007756973902,-21.15608722790814
